Date,Milestone
1996,Launch of the limited production General Motors EV1[42]
1997,Launch of the Toyota RAV4 EV[43]
December 2008,100th Tesla Roadster delivered[44]
December 2010,Nissan Leaf and Chevrolet Volt deliveries began[45]
December 2012,"Annual global sales passed the 100,000 mark[29][32]"
March 2014,Norway achieves 1% of cars on the road as plug-ins[33]
October 2014,EU adopt the Alternative Fuels Infrastructure Directive in 2014.[46]
December 2014,"100,000th plug-in sold in Japan[29][47]"
September 2015,Cumulative global plug-in sales passed 1 million units.[3]
March 2016,"500,000th new energy vehicle sold in China[48]  (includes heavy-duty commercial vehicles)"
March 2016,"100,000th plug-in sold in Norway[49]"
May 2016,"500,000th plug-in sold in Europe[50]"
August 2016,"500,000th plug-in sold in the U.S[51]"
September 2016,"500,000th new energy passenger car sold in China[52]"
September 2016,Global all-electric car/van sales passed 1 million.[53]
October 2016,"100,000th plug-in sold in France[54][55]"
November 2016,"100,000th plug-in sold in the Netherlands[56]"
December 2016,Cumulative global plug-in sales passed 2 million units[34]
December 2016,5% of passenger cars on Norwegian roads are plug-ins[20]
November 2017,Cumulative global plug-in sales passed 3 million units[39]
December 2017,Annual global sales passed the 1 million unit mark[37][36]
December 2017,Annual global market share passed 1% for the first time[37][36]
First half 2018,1 million plug-in electric cars sold in Europe[57]
September 2018,1 million plug-in electric cars sold in the US[58]
September 2018,2 million new energy passenger cars sold in China[59] (includes heavy-duty commercial vehicles)
October 2018,10% of passenger cars on Norwegian roads are plug-ins[22]
November 2018,"500,000th plug-in car sold in California[60]"
December 2018,Annual global sales passed the 2 million unit mark[8][61]
December 2018,Annual sales of EVs passed 1 million in China[62]
December 2018,Cumulative global plug-in sales passed 5 million units[4]
December 2018,"Tesla Model 3 becomes first EV to exceed 100,000 sales mark in a single year[63]"
June 2019,China's Electric Vehicle Charging Posts surpasses 1 million[64]
December 2020,Cumulative global plug-in sales passed 10 million units[5]
December 2020,Annual sales of EVs passed 1 million in Europe[65][66]
December 2020,Over 15% of cars on Norwegian roads are plug-ins[67]
June 2021,Tesla Model 3 is the first electric car to pass 1 million units in global sales[68]
July 2021,1 million plug-in cars sold in Germany[69]
November 2021,1 million plug-in cars sold in California[17]
May 2022,Cumulative global plug-in sales passed 20 million units[6]
June 2022,10 million plug-in cars on the road in China[70]
September 2022,1 million plug-in cars on the road in UK[71]
January 2023,EVs surpass 10% in global market share[72]
May 2023,Tesla Model Y becomes the world's best selling vehicle[73]
October 2025,EVs surpass 25% in global market share[74]
